DATA,CO_ID,CL_ID,CL_GENERO,CL_EC,CL_FHL,CL_SEG,PR_ID,PR_CAT,PR_NOME
2019-01-02,1000,534,M,4,1,C,67,Bebidas,Refrigerante Guarana
2019-01-02,1040,279,M,1,2,B,38,Alimentos,Leite Condensado
2019-01-02,1078,290,F,1,0,B,145,Pet,Racao Umida Para Gatos
2019-01-02,1082,323,M,1,3,B,69,Bebidas,Refrigerante Limao
2019-01-02,1103,957,M,2,3,B,15,Alimentos,Batata Doce
2019-01-02,1121,49,M,2,0,C,123,Limpeza,Tira Mancha
2019-01-02,1188,906,M,2,0,A,96,Limpeza,Balde
2019-01-02,1200,653,M,2,0,C,54,Alimentos,Presunto Cozido
2019-01-02,1240,842,M,5,2,B,166,Higiene,Modelador
2019-01-02,1293,616,F,1,2,C,43,Alimentos,Mamao Papaya
2019-01-02,1298,406,M,2,4,C,72,Higiene,Condicionador
2019-01-02,1375,576,M,3,0,B,168,Alimentos,Mamao Papaya
2019-01-02,1433,652,F,4,0,B,96,Limpeza,Balde
2019-01-02,1482,453,F,1,0,B,7,Alimentos,Almondega
2019-01-02,1568,829,F,3,4,B,106,Limpeza,Odorizador
2019-01-02,1569,251,F,2,0,C,148,Pet,Racao Seca Para Caes
2019-01-02,1637,397,F,1,0,B,100,Limpeza,Detergente
2019-01-02,1683,438,F,1,0,B,63,Alimentos,Tomate
2019-01-02,1768,69,M,4,3,A,221,Alimentos,Banana
2019-01-02,1793,608,F,3,0,C,122,Alimentos,Tomate
2019-01-02,1850,423,F,5,2,A,167,Alimentos,Manga
2019-01-02,1874,53,M,1,1,B,9,Alimentos,Arroz Integral
2019-01-02,1943,886,F,5,1,B,35,Alimentos,Lata De Ervilha
2019-01-02,1954,624,M,4,0,B,143,Bebidas,Refrigerante Guarana
2019-01-02,1985,94,M,1,2,C,220,Alimentos,Batata
2019-01-02,2058,428,F,2,0,A,106,Limpeza,Odorizador
2019-01-02,2112,72,F,2,0,A,192,Higiene,Fixador
2019-01-02,2151,493,M,2,4,B,39,Alimentos,Limao
2019-01-02,2224,497,M,3,0,B,196,Higiene,Escova De Dente
2019-01-02,2311,164,M,2,3,A,213,Alimentos,Cenoura
